"的","de","possessive, adjectival suffix"
"茶","chá","tea"
"狗","gǒu","dog, canis familiaris"
"杯","bēi","cup, glass"
"租","zū","rent, lease; rental; tax"
"昨","zuó","yesterday; in former times, past"
"漂","piào","float, drift; tossed about"
"椅","yǐ","chair, seat"
"猫","māo","cat"
"喂","wèi","interjection to call attention"
"苹","píng","artemisia; duckweed; apple"
