"斗","dòu","Chinese peck; liquid measure"
"采","cǎi","collect, gather; pick, pluck"
"杀","shā","kill, slaughter, murder; hurt"
"朝","cháo","dynasty; morning"
"属","shǔ","class, category, type; belong to"
"限","xiàn","boundary, limit, line"
"威","wēi","pomp, power; powerful; dominate"
"状","zhuàng","form; appearance; shape; official"
"率","lǜ","to lead; ratio; rate; limit"
"独","dú","alone, single, solitary, only"
"创","chuàng","establish, create; knife cut"
"承","chéng","inherit, receive; succeed"
"股","gǔ","thighs, haunches, rump; share"
"益","yì","profit, benefit; advantage"
"血","xuè","blood; radical number 143"
"素","sù","white (silk); plain; vegetarian; formerly; normally"
"夜","yè","night, dark; in night; by night"
"初","chū","beginning, initial, primary"
"源","yuán","spring; source, head; surname"
"食","shí","eat; meal; food; KangXi radical number 184"
"待","dài","treat, entertain, receive; wait"
"述","shù","narrate, state, express"
"陆","lù","land, continental; army"
"置","zhì","place, lay out; set aside"
"劳","láo","labor, toil, do manual work"
"财","cái","wealth, valuables, riches"
"纳","nà","admit, take, receive, accept"
"雷","léi","thunder"
"模","mó","model, standard, pattern; copy"
"充","chōng","fill, be full, supply"
"木","mù","tree; wood, lumber; wooden"
"龙","lóng","dragon; symbolic of emperor"
"冲","chōng","soar; pour boiling water over"
"射","shè","shoot, eject, issue forth, emit"
"略","lüè","approximately, roughly; outline"
"范","fàn","surname; bee-like insect"
"村","cūn","village, hamlet; uncouth, vulgar"
"哈","hā","sound of laughter"
"退","tuì","step back, retreat, withdraw"
"余","yú","I, my, me; surname; surplus"
"痛","tòng","pain, ache; sorry, sad; bitter"
"灵","líng","spirit, soul; spiritual world"
"配","pèi","match, pair; equal; blend"
"征","zhēng","invade, attack, conquer"
"挥","huī","direct; wipe away; squander"
"胜","shèng","victory; excel, be better than"
"阶","jiē","stairs, steps; rank, degree"
"沉","chén","sink, submerge; addicted to"
"善","shàn","good, virtuous, charitable, kind"
"执","zhí","hold in hand; keep; carry out"
"追","zhuī","pursue, chase after; expel"
"宣","xuān","declare, announce, proclaim"
"佛","fú","Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)"
"控","kòng","accuse, charge; control"
"税","shuì","taxes"
"背","bèi","back; back side; behind; betray"
"阵","zhèn","column, row or file of troops"
"恶","è","evil, wicked, bad, foul"
"顿","dùn","pause, stop; bow, kowtow; arrange"
"守","shǒu","defend, protect, guard, conserve"
"岛","dǎo","island"
"托","tuō","to hold up with palm; to support, rely on"
"烈","liè","fiery, violent, vehement, ardent"
"索","suǒ","large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated"
"胡","hú","recklessly, foolishly; wildly"
"靠","kào","lean on, trust, depend on; near"
"版","bǎn","printing blocks; edition"
"宝","bǎo","treasure, jewel; precious, rare"
"欧","ōu","translit.: Europe; ohm; surname"
"核","hé","seed, kernel, core, nut; atom"
"暗","àn","dark; obscure; in secret, covert"
"良","liáng","good, virtuous, respectable"
"升","shēng","arise, go up; hoist; advance"
"临","lín","draw near, approach; descend"
"架","jià","rack, stand, prop; prop up"
"域","yù","district, region, boundary; land"
"括","kuò","include, embrace, enclose"
"编","biān","knit, weave; arrange; compile"
"测","cè","measure, estimate, conjecture"
"屋","wū","house; room; building, shelter"
"渐","jiàn","gradually"
"救","jiù","save, rescue, relieve; help, aid"
"枪","qiāng","spear, lance; gun, rifle"
"县","xiàn","county, district, subdivision"
"尚","shàng","still, yet; even; fairly, rather"
"毫","háo","fine hair; measure of length"
"移","yí","change place, shift; move about"
"娘","niáng","mother; young girl; woman; wife"
"智","zhì","wisdom, knowledge, intelligence"
"掌","zhǎng","palm of hand, sole of foot, paw"
"遗","yí","lose; articles lost; omit"
"固","gù","to become solid, solidify; strength"
"席","xí","seat; mat; take seat; banquet"
"秘","mì","secret, mysterious, abstruse"
"均","jūn","equal, even, fair; all, also"
"销","xiāo","melt, fuse; market, sell"
"诗","shī","poetry; poem, verse, ode"
"藏","cáng","hide, conceal; hoard, store up"
"损","sǔn","diminish; impair; injure"
"忽","hū","suddenly, abruptly; neglect"
"巨","jù","large, great, enormous; chief"
"炮","pào","large gun, cannon; artillery"
"录","lù","copy, write down, record"
"乡","xiāng","country; rural; village"
"庭","tíng","courtyard; spacious hall or yard"
"妇","fù","married women; woman; wife"
"归","guī","return; return to, revert to"
"含","hán","hold in mouth; cherish; contain"
"摇","yáo","wag, swing, wave; shake; scull"
"补","bǔ","mend, patch, fix, repair, restore"
"谓","wèi","say, tell; call, name; be called"
"毒","dú","poison, venom; poisonous"
"疗","liáo","be healed, cured, recover"
"逐","zhú","chase, expel; one by one"
"寻","xún","seek, search, look for; ancient"
"厂","chǎng","factory, workshop; radical 27"
"岸","àn","bank, shore; beach, coast"
"炸","zhà","to fry in oil; to scald; to explode"
"载","zài","load; carry; transport, convey"
"避","bì","avoid; turn aside; escape; hide"
"抓","zhuā","scratch; clutch, seize, grab"
"荣","róng","glory, honor; flourish, prosper"
"姑","gū","paternal aunt; husband's sister; nun; for the time being"
"逃","táo","escape, flee; abscond, dodge"
"顶","dǐng","top, summit, peak; to carry on the head"
"玉","yù","jade, precious stone, gem"
"迫","pò","coerce, force, compel; urgent"
"洞","dòng","cave, grotto; ravine; hole"
"卷","juǎn","scroll; curl; make a comeback"
"坦","tǎn","flat, smooth; self-possessed"
"宁","níng","calm, peaceful, serene; healthy"
"训","xùn","teach, instruct; exegesis"
"私","sī","private, personal; secret"
"丝","sī","silk; fine thread; wire; strings"
"握","wò","grasp, hold fast, take by hand"
"骨","gǔ","bone; skeleton; frame, framework"
"访","fǎng","visit; ask, inquire"
"弱","ruò","weak; fragile, delicate"
"鬼","guǐ","ghost; spirit of dead; devil"
"软","ruǎn","soft, flexible, pliable; weak"
"扩","kuò","expand, enlarge, stretch"
"盖","gài","cover, hide, protect"
"雄","xióng","male of species; hero; manly"
"稳","wěn","stable, firm, solid, steady"
"亿","yì","hundred million; many"
"刺","cì","stab; prick, irritate; prod"
"拥","yōng","embrace, hug, squeeze; crowd"
"齐","qí","even, uniform, of equal length"
"虚","xū","false"
"析","xī","split wood; break apart; divide"
"透","tòu","penetrate, pass through"
"替","tì","change, replace, substitute for"
"途","tú","way, road, path, journey; course"
"兄","xiōng","elder brother"
"迅","xùn","quick, hasty, rapid, sudden"
"套","tào","case, cover, wrapper, envelope"
"贸","mào","trade, barter; mixed; rashly"
"唯","wéi","only; yes"
"轮","lún","wheel; revolve, turn; recur"
"库","kù","armory, treasury, storehouse"
"迹","jī","traces, impressions, footprints"
"促","cù","urge, press, hurry; close"
"延","yán","delay, postpone, defer"
"震","zhèn","shake, quake, tremor; excite"
"甲","jiǎ","armor, shell; fingernails; 1st heavenly stem"
"伟","wěi","great, robust; extraordinary"
"缓","huǎn","slow, leisurely; to postpone, delay"
"闪","shǎn","flash; avoid, dodge, evade"
"哲","zhé","wise, sagacious; wise man, sage"
"络","luò","enmesh, wrap around; web, net"
"纯","chún","pure, clean, simple"
"忍","rěn","endure, bear, suffer; forbear"
"筑","zhù","ancient lute; build"
"贝","bèi","sea shell; money, currency"
"振","zhèn","raise, excite, arouse action"
"圆","yuán","circle; round, circular; complete"
"搞","gǎo","to clear, clarify"
"狂","kuáng","insane, mad; violent; wild"
"措","cuò","place; collect, arrange; employ"
"培","péi","bank up with dirt; cultivate"
"宽","kuān","broad, wide; spacious, vast"
"摆","bǎi","put, place; display; swing, sway"
"伸","shēn","extend, stretch out, open up; trust"
"摩","mó","rub, scour, grind; friction"
"悲","bēi","sorrow, grief; sorry, sad"
"拍","pāi","clap, tap, beat; beat or rhythm"
"硬","yìng","hard, firm, strong; obstinate"
"麦","mài","wheat, barley, oats; simplified form of KangXi radical number 199"
"操","cāo","conduct, run, control, manage"
"阻","zǔ","impede, hinder, obstruct; oppose"
"订","dìng","draw up agreement; arrange"
"赞","zàn","help, support, assist, aid"
"纷","fēn","in disorder, scattered, tangled"
"喊","hǎn","shout, call out, yell; howl; cry"
"违","wéi","disobey, violate, defy; be apart from"
"汇","huì","concourse; flow together, gather"
"币","bì","currency, coins, legal tender"
"殊","shū","different, special, unusual"
"献","xiàn","offer, present; show, display"
"裁","cái","cut out; decrease"
"触","chù","butt, ram, gore; touch"
"敬","jìng","respect, honor; respectfully"
"墙","qiáng","wall"
"召","zhào","imperial decree; summon"
"罚","fá","penalty, fine; punish, penalize"
"享","xiǎng","enjoy"
"犹","yóu","like, similar to, just like, as"
"彻","chè","penetrate, pervade; penetrating"
"描","miáo","copy, trace, sketch; depict"
"妙","miào","mysterious, subtle; exquisite"
"彼","bǐ","that, there, those"
"仿","fǎng","imitate, copy; as if"
"闭","bì","shut, close; obstruct, block up"
"庆","qìng","congratulate, celebrate"
"泪","lèi","tears; weep, cry"
"朗","lǎng","clear, bright; distinct"
"尾","wěi","tail, extremity; end, stern"
"偷","tōu","to steal, burglar, thief"
"虫","chóng","insects, worms; KangXi radical 142"
"淡","dàn","weak, watery; insipid, tasteless"
"恨","hèn","hatred, dislike; resent, hate"
"繁","fán","complicated, complex, difficult"
"伴","bàn","companion, comrade, partner; accompany"
"旦","dàn","dawn; morning; day"
"潮","cháo","tide; moist, wet, damp; flow"
"粮","liáng","food, grain, provisions"
"缩","suō","contract, draw in, reduce"
"挑","tiāo","a load carried on the shoulders; to carry"
"灰","huī","ashes; dust; lime, mortar"
"珍","zhēn","precious, valuable, rare"
"幕","mù","curtain, screen, tent"
"映","yìng","project; reflect light"
"隔","gé","separate, partition"
"启","qǐ","open; begin, commence; explain"
"泛","fàn","to drift, float; careless, reckless"
"偿","cháng","repay, recompense; restitution"
"呆","dāi","dull; dull-minded, simple, stupid"
"衡","héng","measure, weigh, judge, consider"
"舍","shě","house, dwelling; dwell, reside"
"婆","pó","old woman; grandmother"
"灾","zāi","calamity, disaster, catastrophe"
"胆","dǎn","gall bladder; bravery, courage"
"俗","sú","social customs; vulgar, unrefined"
"辩","biàn","dispute, argue, debate, discuss"
"胸","xiōng","breast, bosom, chest; thorax"
"劲","jìn","strong, unyielding, tough, power"
"辑","jí","gather up, collect; edit, compile"
"恢","huī","restore; big, great, immense, vast"
"圈","quān","to circle; a circle; corral"
"摸","mō","gently touch with hand; caress"
"润","rùn","soft, moist; sleek; freshen"
"堆","duī","heap, pile, crowd; pile up"
"碰","pèng","collide, bump into"
"废","fèi","abrogate, terminate, discard"
"壁","bì","partition wall; walls of a house"
"吹","chuī","blow; puff; brag, boast"
"糊","hú","paste, stick on with paste"
"盾","dùn","shield, shield-shaped object; currency sign for Dutch guilder"
"乏","fá","lack; poor"
"诊","zhěn","examine patient, diagnose"
"摄","shè","take in, absorb; act as deputy"
"凭","píng","lean on, depend on, rely on"
"抢","qiǎng","plunder, rob, take by force"
"绪","xù","end of thread; thread, clue"
"肩","jiān","shoulders; to shoulder; bear"
"幻","huàn","illusion, fantasy, mirage"
"碎","suì","break, smash; broken, busted"
"综","zōng","arrange threads for weaving"
"返","fǎn","return, revert to, restore"
"薄","báo","thin, slight, weak; poor, stingy"
"悄","qiāo","silent, quiet, still; anxious"
"敏","mǐn","fast, quick, clever, smart"
"碍","ài","obstruct, hinder, block, deter"
"矛","máo","spear, lance; KangXi radical 110"
"幅","fú","piece, strip, breadth of, hem"
"颗","kē","grain, kernel"
"骂","mà","accuse, blame, curse, scold"
"赏","shǎng","reward, grant, bestow; appreciate"
"贴","tiē","paste to, stick on; attached to"
"腰","yāo","waist; kidney"
"眉","méi","eyebrows; upper margin of book"
"恋","liàn","love; long for, yearn for; love"
"吓","xià","scare, frighten; intimidate"
"辞","cí","words, speech, expression, phrase"
"尺","chǐ","a Chinese foot; a ruler; a tape-measure"
"辈","bèi","generation, lifetime; class"
"滑","huá","slip, slide; slippery, polished"
"绕","rào","entwine; wind around; surround"
"趋","qū","hasten, hurry; be attracted to"
"胁","xié","ribs, armpits; flank; threaten"
"插","chā","insert, stick into; plant"
"慧","huì","bright, intelligent; intelligence"
"媒","méi","go-between, matchmaker; medium"
"佩","pèi","belt ornament, pendant; wear at waist, tie to the belt; respect"
"豪","háo","brave, heroic, chivalrous"
"兼","jiān","unite, combine; connect; and"
"跃","yuè","skip, jump, frolic"
"肃","sù","pay respects; reverently"
"驶","shǐ","sail, drive, pilot; fast, quick"
"届","jiè","numerary adjunct for time, term"
"欣","xīn","happy, joyous, delighted"
"惠","huì","favor, benefit, confer kindness"
"册","cè","book, volume, register, list"
"飘","piāo","whirlwind, cyclone; floating"
"闲","xián","fence, guard; defend; idle time"
"频","pín","frequently, again and again"
"递","dì","hand over, deliver; substitute"
"撞","zhuàng","knock against, bump into, collide"
"滚","gǔn","turn"
"贡","gòng","offer tribute; tribute, gifts"
"疯","fēng","crazy, insane, mentally ill"
"瞧","qiáo","glance at, look at, see"
"燃","rán","burn; light fire, ignite"
"锁","suǒ","lock, padlock; shackles, chains"
"劝","quàn","recommend, advise, urge"
"搜","sōu","search, seek; investigate"
"勤","qín","industrious, diligent, attentive"
"戒","jiè","warn, caution, admonish"
"驾","jià","to drive, sail, fly; a cart, carriage"
"柔","róu","soft; gentle, pliant"
"腐","fǔ","rot, decay, spoil; rotten"
"幼","yòu","infant, young child; immature"
"践","jiàn","trample, tread upon, walk on"
"浓","nóng","thick, strong, concentrated"
"竹","zhú","bamboo; flute; KangXi radical 118"
"逻","luó","patrol; inspect; watch; patrol"
"遵","zūn","obey, comply with, follow; honor"
"饰","shì","decorate, ornament, adorn"
"贷","dài","lend; borrow; pardon"
"叙","xù","express, state, relate, narrate"
"沟","gōu","ditch, drain, narrow waterway"
"扶","fú","support, help; protect; hold on"
"寿","shòu","old age, long life; lifespan"
"询","xún","inquire into, ask about; consult"
"匆","cōng","hastily, in haste, hurriedly"
"奈","nài","but, how; bear, stand, endure"
"慰","wèi","comfort, console, calm"
"怨","yuàn","hatred, enmity, resentment"
"躲","duǒ","hide, secrete; avoid, escape"
"紫","zǐ","purple, violet; amethyst; surname"
"艰","jiān","difficult, hard; distressing"
"慌","huāng","nervous, panicky, frantic"
"吐","tǔ","vomit, spew out, cough up"
"咬","yǎo","bite, gnaw"
"挤","jǐ","crowd, squeeze, push against"
"弯","wān","bend, curve"
"雾","wù","fog, mist, vapor, fine spray"
"屈","qū","bend, flex; bent, crooked; crouch"
"蛇","shé","snake"
"鼠","shǔ","rat, mouse; KangXi radical 208"
"吨","dūn","metric ton; (Cant.) to babble, gibberish"
"池","chí","pool, pond; moat; cistern"
"冠","guān","cap, crown, headgear"
"尘","chén","dust, dirt, ashes, cinders"
"浅","qiǎn","shallow, not deep; superficial"
"喷","pēn","spurt, blow out, puff out"
"凌","líng","pure; virtuous; insult; maltreat"
"赔","péi","indemnify, suffer loss"
"涂","tú","surname; name of certain rivers"
"亏","kuī","lose, fail; damage; deficient"
"寂","jì","still, silent, quiet, desolate"
"煤","méi","coal, coke, charcoal, carbon"
"恭","gōng","respectful, polite, reverent"
"湿","shī","wet, moist, humid, damp; illness"
"秩","zhì","order; orderly; salary; decade"
"宿","sù","stop, rest, lodge, stay overnight; constellation"
"烂","làn","rotten, spoiled, decayed"
"抖","dǒu","tremble, shake, rouse; give shake"
"夹","jiā","be wedged or inserted between"
"昆","kūn","elder brother; descendants"
"猪","zhū","pig, hog, wild boar"
"慎","shèn","act with care, be cautious"
"玻","bō","glass"
"齿","chǐ","teeth; gears, cogs; age; simplified form of the KangXi radical number 211"
"押","yā","mortgage, pledge; deposit; to pawn; to arrest, detain, guard"
"漠","mò","desert; aloof, indifferent, cool"
"疲","pí","feel tired, be exhausted; weak"
"醉","zuì","intoxicated, drunk; addicted to"
"拳","quán","fist; various forms of boxing"
"斜","xié","slanting, sloping, inclined"
"档","dàng","shelf; frame, crosspiece"
"豆","dòu","beans, peas; bean-shaped"
"涨","zhǎng","rise in price"
"拼","pīn","join together, link, incorporate"
"歇","xiē","rest, stop, lodge"
"桃","táo","peach; marriage; surname"
"嘉","jiā","excellent; joyful; auspicious"
"俊","jùn","talented, capable; handsome"
"乙","yǐ","second; 2nd heavenly stem"
"妨","fáng","interfere with, impede, obstruct"
"挣","zhēng","strive, endeavor, struggle"
"览","lǎn","look at, inspect; perceive"
"璃","lí","glass"
"滴","dī","drip; drop of water"
"姿","zī","beauty; disposition; looks; appearance"
"丑","chǒu","clown, comedian; 2nd terrestrial branch"
"劣","liè","bad, inferior; slightly"
"匹","pǐ","bolt of cloth; counter for horses"
"俱","jù","all, together; accompany"
"蜂","fēng","bee, wasp, hornet"
"糟","zāo","sediment, dregs; pickle"
"谨","jǐn","prudent, cautious; attentive"
"苗","miáo","sprouts; Miao nationality"
"肠","cháng","intestines; emotions; sausage"
"挡","dǎng","obstruct, impede; stop; resist"
"纲","gāng","heavy rope, hawser; main points"
"肌","jī","muscle tissue; meat on bones"
"膀","bǎng","upper arm; shoulder; wing"
"卧","wò","lie down; crouch"
"欠","qiàn","owe, lack, be deficient; KangXi radical number 76"
"夸","kuā","extravagant, luxurious; handsome"
"豫","yù","relaxed, comfortable, at ease"
"胃","wèi","stomach; gizzard of fowl"
"睁","zhēng","open eyes; stare"
"铃","líng","bell"
"吻","wěn","kiss; the lips; coinciding"
"脆","cuì","crisp; fragile, frail; brittle"
"柴","chái","firewood, faggots, fuel"
"绳","shéng","rope, string, cord; control"
"眠","mián","close eyes, sleep; hibernate"
"傻","shǎ","foolish, silly, stupid; an imbecile"
"扇","shàn","fan; door panel"
"柜","guì","cabinet, cupboard; shop counter"
"拦","lán","obstruct, impede, bar, hinder"
"夕","xī","evening, night, dusk; slanted"
"姻","yīn","relatives by marriage"
"氛","fēn","gas, vapor, air"
"蜜","mì","honey; sweet; nectar"
"摘","zhāi","pluck, pick; select; specify"
"披","pī","wear; split; crack"
"辅","fǔ","cheek bone; protective; assist"
"盆","pén","basin, tub, pot, bowl"
"吵","chǎo","argue, dispute; disturb, annoy"
"嗯","ń","final particle"
"骤","zhòu","procedure; gallop; sudden(ly)"
"漏","lòu","leak, drip; funnel; hour glass"
"悠","yōu","long, far, remote, distant; liesurely"
"滩","tān","bank, a sandbar, shoal; rapids"
"嫁","jià","to marry, give a daughter in marriage"
"催","cuī","press, urge"
"翅","chì","wings; fin"
"锅","guō","cooking-pot, saucepan"
"拆","chāi","to break up, split apart, rip open; to destroy"
"棋","qí","chess; any game similar to chess"
"唉","āi","alas, exclamation of surprise or pain"
"孕","yùn","be pregnant, pregnancy"
"链","liàn","chain, wire, cable; chain, shack"
"艳","yàn","beautiful, sexy, voluptuous"
"臭","chòu","smell, stink, emit foul odor"
"趁","chèn","take advantage of, avail oneself"
"愁","chóu","anxiety; to worry about, be anxious"
"孝","xiào","filial piety, obedience; mourning"
"冻","dòng","freeze; cold, congeal; jelly"
"闯","chuǎng","rush in, burst in, charge in"
"宴","yàn","to entertain, feast; a feast, banquet"
"矩","jǔ","carpenter's square; rule; regulation; pattern"
"胶","jiāo","glue, gum, resin, rubber; sound; shin bone"
"盼","pàn","look, gaze; expect, hope for"
"脖","bó","neck"
"虹","hóng","rainbow"
"账","zhàng","accounts; bill, debt; credit"
"倡","chàng","guide, leader; lead, introduce"
"猴","hóu","monkey, ape; monkey-like"
"寓","yù","residence; lodge; dwell"
"狮","shī","lion"
"抄","chāo","copy, confiscate, seize"
"晕","yūn","halo in sky; fog; dizzy, faint"
"砍","kǎn","hack, chop, cut, fell"
"剪","jiǎn","scissors; cut, divide, separate"
"叉","chā","crotch; fork, prong"
"拐","guǎi","kidnap, abduct; turn"
"捐","juān","contribute; give up, renounce"
"歪","wāi","slant; inclined; askewd, awry"
"粘","zhān","viscous, mucous; glutinous"
"陌","mò","foot path between rice fields"
"窄","zhǎi","narrow, tight; narrow-minded"
"鞭","biān","whip; whip; string of firecrackers"
"厘","lí","thousandth part of tael"
"厦","shà","big building, mansion"
"恳","kěn","sincere, earnest, cordial"
"憾","hàn","to regret, remorse; dissatisfied"
"摔","shuāi","fall ground, stumble, trip"
"愧","kuì","ashamed, conscience-stricken"
"洒","sǎ","sprinkle; scatter; pour; to wipe away; to shiver"
"哎","āi","interjection of surprise"
"钓","diào","fish; fishhook; tempt, lure"
"蝶","dié","butterfly"
"讽","fěng","recite, incant; satirize"
"旬","xún","ten-day period; period of time"
"撕","sī","rip, tear; buy cloth"
"谦","qiān","humble, modest"
"兔","tù","rabbit, hare"
"荐","jiàn","repeat, reoccur; recommend"
"炭","tàn","charcoal; coal; carbon"
"舅","jiù","maternal uncle"
"裹","guǒ","wrap, bind; encircle, confine"
"瞎","xiā","blind, reckless; rash"
"咨","zī","inquire, consult, discuss; plan"
"宠","chǒng","favorite, concubine; favor"
"兑","duì","cash; exchange"
"霉","méi","mildew, mold; moldy, mildewed"
"塘","táng","pond; tank; dike, embankment"
"帘","lián","flag-sign of a tavern"
"厢","xiāng","side-room, wing; theatre box"
"乖","guāi","rebel; crafty, shrewd"
"娱","yú","pleasure, enjoyment, amusement"
"娶","qǔ","marry, take wife"
"嗓","sǎng","voice; throat"
"蹲","dūn","squat, crouch; idle about"
"淘","táo","wash in sieve; weed out"
"嫩","nèn","soft, tender, delicate; young"
"壶","hú","jar, pot, jug, vase; surname"
"傍","bàng","by side of, beside, near, close"
"勿","wù","must not, do not; without, never"
"踩","cǎi","step on"
"煮","zhǔ","cook"
"逗","dòu","tempt, allure, arouse, stir"
"炒","chǎo","fry, saute, roast, boil, cook"
"寞","mò","silent, still, lonely, solitary"
"甩","shuǎi","throw away, discard"
"燥","zào","dry, parched, arid; quick-tempered"
"晒","shài","dry in sun, expose to sun"
"屿","yǔ","island"
"绸","chóu","silk cloth, satin damask"
"痒","yǎng","itch"
"耽","dān","indulge in; be negligent"
"魅","mèi","kind of forest demon, elf"
"狡","jiǎo","cunning, deceitful, treacherous"
"匀","yún","equal"
"熬","áo","cook down, to boil; endure"
"毯","tǎn","rug, carpet, blanket"
"梳","shū","comb; brush"
"蔬","shū","vegetables, greens"
"捡","jiǎn","to pick up"
"删","shān","to cut; delete"
"浏","liú","clear; bright; whistling"
"裔","yì","progeny, descendants, posterity"
"浇","jiāo","spray, water, sprinkle"
"姥","lǎo","maternal grandmother; midwife"
"烫","tàng","scald, heat; wash; iron clothes"
"惭","cán","ashamed, humiliated; shameful"
"蝴","hú","butterfly"
"梨","lí","pear; opera; cut, slash"
"醋","cù","vinegar; jealousy, envy"
"猾","huá","crafty, cunning, shrewd; deceitful"
"皂","zào","soap; black; menial servant"
"酱","jiàng","any jam-like or paste-like food"
"糙","cāo","coarse, harsh, rough, unpolished rice"
"屉","tì","drawer; tray; pad; screen"
"髦","máo","flowing hair of young child"
"椒","jiāo","pepper, spices"
"桔","jú","Chinese bellflower; well-swept; the inner fibers of corn-stalks"
"馒","mán","steamed bread; steamed dumplings"
"嚏","tì","sneeze"
