地	de	earth; soil, ground; region
聪	cōng	intelligent, clever, bright
梯	tī	ladder, steps, stairs; lean
瓶	píng	jug, pitcher, vase, jar, bottle
疼	téng	aches, pains; be fond of; love
熊	xióng	a bear; brilliant; bright; surname
帽	mào	hat, cap; cap-like tops
炼	liàn	smelt, refine; distill, condense
搬	bān	transfer, move, remove, shift
刷	shuā	brush; clean with brush, scrub
瘦	shòu	thin, emaciated, lean; meager
斤	jīn	a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69
胖	pàng	fat, obese; fatty
饿	è	hungry; greedy for; hunger
聊	liáo	somewhat, slightly, at least
碗	wǎn	bowl, small dish
渴	kě	thirsty, parched; yearn, pine
饱	bǎo	full (after eating); satisfied
甜	tián	sweet, sweetness
矮	ǎi	short, dwarf; low
裤	kù	trousers, pants
衫	shān	shirt; robe; gown; jacket
伞	sǎn	umbrella, parasol, parachute
姨	yí	aunt (mother's sister)
刮	guā	shave, pare off, scrape
糕	gāo	cakes, pastry
裙	qún	skirt, apron, petticoat
衬	chèn	underwear; inner garments
锻	duàn	forge metal; temper, refine
澡	zǎo	wash, bathe
啤	pí	beer
蕉	jiāo	banana; plantain
筷	kuài	chopsticks
